t,date,version,fit_id,a,c,fallback_reason,rank_ic,pearson_ic,valid_stocks,correct_directions,active_directions,zero_predictions,zero_targets,positive_targets,negative_targets,mse
391,2025-08-14,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,-0.011652197504069452,0.05381476704223793,96,57,96,0,0,39,57,0.0057413305258868326
392,2025-08-15,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.012384698860553444,0.12936653263267886,96,60,96,0,0,36,60,0.005218569765423148
393,2025-08-18,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.0551953336950624,0.06867595675726164,96,60,96,0,0,36,60,0.004506460130594524
394,2025-08-19,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.12510851871947912,0.15298086999747978,96,61,96,0,0,35,61,0.003961311913949076
395,2025-08-20,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.4782148670645686,0.41193881421226963,96,59,96,0,0,37,59,0.007736281295860156
396,2025-08-21,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.24980674059892352,0.2875714694923946,94,59,94,0,0,35,59,0.003537294799420162
397,2025-08-22,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.4476142162275073,0.4505994829576122,93,53,93,0,0,40,53,0.0033824768810982973
398,2025-08-25,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.15454626838948402,0.2624058837302554,93,62,93,0,0,31,62,0.0028760001685010188
399,2025-08-26,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.02646892065291993,0.1214248894690454,93,63,93,0,0,30,63,0.003933222307041009
400,2025-08-27,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,-0.41716152905016257,-0.2696497902987749,93,45,93,0,0,48,45,0.005169880829177952
401,2025-08-28,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,-0.2427113485124287,-0.04905762391906992,93,46,93,0,0,47,46,0.0058161170913254975
